Group Name,Facebook URL,Segment,Priority,Parents 4-8 Score,Book Promotion Allowed,Engagement,Group Size,English Audience,ARC Friendly,Review Potential,Kromi Fit,Status,Notes,Membership Status,Tracking ID,Tracking URL,Join Requested Date,Check Again Date,Post Result,Post Date,Post URL,Post Attempt Count,GA4 Visitors,ARC Signups,Amazon Clicks,Reviews Generated,Visitor to ARC Signup Rate,ARC to Review Rate,Outcome Score,Last Checked,Last Error
Kids Book Club for Parents,https://www.facebook.com/groups/kidsbooksparents/,Parents/Children's Books,A+,10,Yes,High,Large,Yes,No,9,10,Not contacted,Parent book recommendation group,Not member,fb_001,https://kromiuniverse.com/arc?group=fb_001,,,Not attempted,,,0,,,,,,,,,
Children's Picture Book Authors and Readers,https://www.facebook.com/groups/1486836004877610/,Children's Books/Authors,A+,9,Yes,High,Large,Yes,Yes,9,9,Not contacted,Children’s picture book authors and readers,Not member,fb_002,https://kromiuniverse.com/arc?group=fb_002,,,Not attempted,,,0,,,,,,,,,
Our Children's Book Club,https://www.facebook.com/groups/433986570364175/,Children's Books,A,9,Yes,High,Large,Yes,No,8,9,Not contacted,Children’s book club,Not member,fb_003,https://kromiuniverse.com/arc?group=fb_003,,,Not attempted,,,0,,,,,,,,,
Children's Book Club,https://www.facebook.com/groups/235652357878664/,Children's Books,A,9,Yes,High,Large,Yes,No,8,9,Not contacted,Children’s book club,Not member,fb_004,https://kromiuniverse.com/arc?group=fb_004,,,Not attempted,,,0,,,,,,,,,
Kids Book Café,https://www.facebook.com/groups/kidsbookcafe/,Children's Books,A,9,Yes,High,Large,Yes,No,8,9,Not contacted,Book café group,Not member,fb_005,https://kromiuniverse.com/arc?group=fb_005,,,Not attempted,,,0,,,,,,,,,
"Children's Books Authors, Writers, Illustrators, Readers",https://www.facebook.com/groups/childrensbooksauthorsandillustrators/,Children's Books,A,8,Yes,High,Large,Yes,Yes,8,8,Not contacted,"Authors, illustrators, readers",Not member,fb_006,https://kromiuniverse.com/arc?group=fb_006,,,Not attempted,,,0,,,,,,,,,
Children's Book Authors/Writers Group,https://www.facebook.com/groups/write4kids/,Children's Books,A,8,Yes,Medium,Medium,Yes,Yes,8,8,Not contacted,Authors/writers group,Not member,fb_007,https://kromiuniverse.com/arc?group=fb_007,,,Not attempted,,,0,,,,,,,,,
Children's Book Writers USA,https://www.facebook.com/groups/CBWUSA/,Children's Books,A,8,Yes,Medium,Medium,Yes,Yes,8,8,Not contacted,Writers USA group,Not member,fb_008,https://kromiuniverse.com/arc?group=fb_008,,,Not attempted,,,0,,,,,,,,,
Children's Picture Book Writers and Illustrators,https://www.facebook.com/groups/1238028593222362/,Children's Books,A,8,Yes,Medium,Medium,Yes,Yes,8,8,Not contacted,Picture book writers and illustrators,Not member,fb_009,https://kromiuniverse.com/arc?group=fb_009,,,Not attempted,,,0,,,,,,,,,
Promoting Books for Kids,https://www.facebook.com/groups/1368570139882657/,Book Promotion/Children's Books,A,9,Yes,Medium,Medium,Yes,Yes,9,9,Not contacted,Book promotion group,Not member,fb_010,https://kromiuniverse.com/arc?group=fb_010,,,Not attempted,,,0,,,,,,,,,
Indie Children's Book Authors and Illustrators,https://www.facebook.com/groups/1836452183243396/,Children's Books,A,8,Yes,Medium,Medium,Yes,Yes,8,8,Not contacted,Indie authors and illustrators,Not member,fb_011,https://kromiuniverse.com/arc?group=fb_011,,,Not attempted,,,0,,,,,,,,,
Homeschooling Your Kids,https://www.facebook.com/groups/537569880501387/,Homeschool,B,7,Limited,High,Large,Yes,No,6,7,Not contacted,Homeschooling your kids,Not member,fb_012,https://kromiuniverse.com/arc?group=fb_012,,,Not attempted,,,0,,,,,,,,,
Friendly Home Education & Home Schooling HELP,https://www.facebook.com/groups/994693681332418/,Homeschool,B,7,Limited,Medium,Medium,Yes,No,5,7,Not contacted,Friendly home education group,Not member,fb_013,https://kromiuniverse.com/arc?group=fb_013,,,Not attempted,,,0,,,,,,,,,
Homeschooling For Beginners,https://www.facebook.com/groups/1909888556055021/,Homeschool,B,7,Limited,High,Large,Yes,No,5,7,Not contacted,Homeschooling for beginners,Not member,fb_014,https://kromiuniverse.com/arc?group=fb_014,,,Not attempted,,,0,,,,,,,,,
Homeschool Moms,https://www.facebook.com/groups/467088916727307/,Homeschool/Parents,B,8,Limited,High,Large,Yes,No,5,8,Not contacted,Homeschool moms group,Not member,fb_015,https://kromiuniverse.com/arc?group=fb_015,,,Not attempted,,,0,,,,,,,,,
ARC Readers,https://www.facebook.com/groups/861716437509743/,ARC/Reviewers,A+,9,Yes,Medium,Large,Yes,Yes,10,8,Not contacted,General ARC readers,Not member,fb_016,https://kromiuniverse.com/arc?group=fb_016,,,Not attempted,,,0,,,,,,,,,
ARC Readers Authors,https://www.facebook.com/groups/arc.readers.authors/,ARC/Reviewers,A+,8,Yes,Medium,Large,Yes,Yes,10,7,Not contacted,ARC readers and authors,Not member,fb_017,https://kromiuniverse.com/arc?group=fb_017,,,Not attempted,,,0,,,,,,,,,
ARC Readers & Reviewers,https://www.facebook.com/groups/1658272217720742/,ARC/Reviewers,A+,8,Yes,Medium,Large,Yes,Yes,10,7,Not contacted,ARC readers & reviewers,Not member,fb_018,https://kromiuniverse.com/arc?group=fb_018,,,Not attempted,,,0,,,,,,,,,
Beta and ARC Readers,https://www.facebook.com/groups/346067425967006/,ARC/Reviewers,A,7,Yes,Medium,Medium,Yes,Yes,9,6,Not contacted,Beta and ARC readers,Not member,fb_019,https://kromiuniverse.com/arc?group=fb_019,,,Not attempted,,,0,,,,,,,,,
Honest Book Reviewers,https://www.facebook.com/groups/346067425967006/,ARC/Reviewers,A,7,Yes,Medium,Medium,Yes,Yes,9,6,Not contacted,Honest book reviewers,Not member,fb_020,https://kromiuniverse.com/arc?group=fb_020,,,Not attempted,,,0,,,,,,,,,
A Modern Charlotte Mason,https://www.facebook.com/groups/amoderncharlottemason/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_021,https://kromiuniverse.com/arc?group=fb_021,,,Not attempted,,,0,,,,,,,,,
Affording The Homeschool Life,https://www.facebook.com/groups/affordingthehomeschoollife/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_022,https://kromiuniverse.com/arc?group=fb_022,,,Not attempted,,,0,,,,,,,,,
Brave Schoolers,https://www.facebook.com/groups/braveschoolers/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_023,https://kromiuniverse.com/arc?group=fb_023,,,Not attempted,,,0,,,,,,,,,
